place,orilat,orilng,reallat,reallng
多哥,810,1800,8.619543,0.824782
達荷美,830,1810,9.30769,2.315834
厄利垂亞,765,2195,15.179384,39.782334
新幾内亞(英),980,3220,-5.0122202,141.3470159
新幾内亞(澳),960,3240,-5.0122202,141.3470159
新幾内亞(澳),980,3220,-5.0122202,141.3470159
新幾内亞(澳),960,3240,-5.0122202,141.3470159
巴布亞新幾内亞,960,3240,-5.0122202,141.3470159
索羅門群島(英),980,3380,-9.64571,160.156194
北西アフリカ(独),848,1910,-8.783195,34.508523
東非(德),970,2170,1.957709,37.2972044
庫克群島(英),1100,250,-21.236736,-159.777671
烏干達(英),900,2110,1.373333,32.290275
索馬里蘭(法),790,2230,9.411743399999999,46.8252838
加羅林群島(德),820,3260,5.5530091,150.1860176
西薩摩亞(德),1035,70,-13.759029,-172.104629
東薩摩亞(美),1050,95,-14.270972,-170.132217
蘇丹(法),720,1780,12.862807,30.217636
納米比亞,1130,1970,-22.95764,18.49041
ギニア(西),882,1904,9.945587,-9.696645
(索馬里蘭),805,2250,9.411743399999999,46.8252838
邦特蘭,815,2295,9.786588100000001,49.36531489999999
南西索馬里,880,2240,5.152149,46.199616
索馬里過渡政府,850,2260,5.152149,46.199616
東非(英),910,2170,1.957709,37.2972044
奈及利亞(英),842,1860,9.081999,8.675277
南奈及利亞(英),842,1860,9.081999,8.675277
奈及利亞(英),800,1870,9.081999,8.675277
巴拿馬,810,1008,8.537981,-80.782127
挪威,220,1950,60.47202399999999,8.468945999999999
保加利亞,470,2065,42.733883,25.48583
西撒哈拉(西),660,1650,24.215527,-12.885834
西撒哈拉,643,1670,24.215527,-12.885834
赤道アフリカ(仏),900,1920,46.227638,2.213749
剛果,930,1920,-4.038333,21.758664
蒙古,410,2850,46.862496,103.846656
阿爾巴尼亞,500,1997,41.153332,20.168331
卡達(英),651,2310,25.354826,51.183884
帛琉(美),850,3100,7.514979999999999,134.58252
科威特(英),605,2267,29.31166,47.481766
漢志,660,2200,24.9839791,121.5335488
漢志,640,2230,24.9839791,121.5335488
葉門,740,2245,15.552727,48.516388
葉門,740,2255,15.552727,48.516388
烏克蘭,400,2120,48.379433,31.1655799
白俄羅斯,360,2080,53.709807,27.953389
波蘭,370,2020,51.919438,19.145136
波蘭(德),370,2000,50.0474519,19.9620522
匈牙利,425,2000,47.162494,19.5033041
匈牙利,425,1995,47.162494,19.5033041
匈牙利,430,1995,47.162494,19.5033041
チェコスロバキア,400,1960,50.11089399999999,14.3789761
捷克(德),403,1945,49.81749199999999,15.472962
盧旺達・烏隆迪,920,2092,-1.940278,29.873888
布隆迪,940,2092,-3.373056,29.918886
斯洛伐克,410,2000,48.669026,19.699024
叙利亞,540,2170,34.80207499999999,38.996815
